"Bill of Material for "
"On 2023/9/10 at 14:09:01"

"Comment","Pattern","Quantity","Components"

"10K","R 0805","3","R2, R9, R10","电阻"
"10R","R 0805","2","R1, R8","电阻"
"10uF","C 0805","4","C3, C5, C6, C7","无极性电容"
"120T3G","DO-214","14","D8, D9, D11, D12, D13, D14, D16, D17, D18, D20, D21, D22, D24, D25","二极管"
"18V","LL34","1","D5",""
"1K","R 0805","3","R3, R4, R5","电阻"
"2.2uF","C 0805","14","C8, C9, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C20, C21","无极性电容"
"2.54-1*20P直针","HDR2.54-LI-20P","1","J7","排数:单排;总PIN位数:20;间距:2.54mm;插针结构:1x20P;行距:-;安装类型:直插;圆针/方针:方针;额定电流:3A;额定电压:-;配合针长度:-;塑高:-;端接针长度:-;触头材质:黄铜;触头镀层:-;工作温度范围:-40℃~+105℃;颜色:黑色;"
"2.54-1*20P直针","HDR-TH_20P-P2.54-V-M-1","2","J5, J6","排数:单排;总PIN位数:20;间距:2.54mm;插针结构:1x20P;行距:-;安装类型:直插;圆针/方针:方针;额定电流:3A;额定电压:-;配合针长度:-;塑高:-;端接针长度:-;触头材质:黄铜;触头镀层:-;工作温度范围:-40℃~+105℃;颜色:黑色;"
"25V 10uF","CP 3528B","1","C4","极性电容"
"330R","R 0805","1","R7","电阻"
"50V 104","C 0805","1","C2","无极性电容"
"50V 10uF","C 0805","1","C1","无极性电容"
"6.8R@Ipeak=167mA","R 0805","1","R6","电阻"
"AUIR3241S","SOP8","1","U2","B2B MOSFET Driver"
"ES1B-E3/61T","DO-214","1","D1","二极管"
"Inductor","L 0805","5","L1, L2, L3, L4, L5","电感"
"IR2184","SOP8","1","U1","Half-Bridge Gate Driver"
"MX34032NF2","CONN-TH_MX34032NF2","1","CN1","间距:2.2mm;插针结构:2x16P;排数:2;每排PIN数:16;行距:3mm;公母:公型插针;安装方式:弯插;"
"orange","LED_0805","2","D6, D7","发光二极管"
"P6SMB18","DO-214AA","1","D3","BiDir TVS Diode"
"POWER_SO_20","POWERSO-20_L15.9-W11.0-P1.27-LS14.2-BL-EP","4","1, 2, 3, 4",""
"RED","LED_0805","1","D4","发光二极管"
"SMT_Connector","SMT_Connector","4","J1, J2, J3, J4","表贴接线端"
"SQD40N06","TO252","1","VT2",""
"SQD40N06","TO263-3B","2","VT1, VT3",""
"SS34","DO-214","4","D10, D15, D19, D23","二极管"
"V40PWM45C","TO252_DIO","1","D2","二极管"
